0,1,2,3,4
28 de junho,Brasil,1 – 1 (pro),Chile,"Estádio Mineirão, Belo Horizonte"
13:00 (UTC−3)  Histórico,David Luiz 18',Relatório,Sánchez 32',Público: 57 714 Árbitro: ENG Howard Webb
