Pote 1 (cabeças de chave),Pote 2 (CAF e CONMEBOL),Pote 3 (AFC e CONCACAF),Pote 4 (UEFA)
Brasil (sede)  Espanha  Alemanha  Argentina  Colômbia  Bélgica  Uruguai  Suíça,Argélia  Camarões  Costa do Marfim  Gana  Nigéria  Chile  Equador  Itália (movida do pote 4),Austrália  Coreia do Sul  Costa Rica  Estados Unidos  Honduras  Irã  Japão  México,Bósnia e Herzegovina  Croácia  França  Grécia  Inglaterra  Países Baixos  Portugal  Rússia
