0,1,2,3,4
4 de julho,França,0 – 1,Alemanha,"Estádio do Maracanã, Rio de Janeiro"
13:00 (UTC−3),,Relatório,Hummels 13',Público: 74 240 Árbitro: ARG Néstor Pitana
