0,1,2,3,4
12 de julho,Brasil,0 – 3,Países Baixos,"Estádio Nacional, Brasília"
17:00 (UTC−3)  Histórico,,Relatório,Van Persie 3' (pen.)  Blind 17'  Wijnaldum 90+1',Público: 68 034 Árbitro: ALG Djamel Haimoudi
