0,1,2,3,4
29 de junho,Costa Rica,1 – 1 (pro),Grécia,"Arena Pernambuco, Recife"
17:00 (UTC−3),Ruiz 52',Relatório,Papastathopoulos 90+1',Público: 41 242 Árbitro: AUS Benjamin Williams
