0,1,2,3,4
29 de junho,Países Baixos,2 – 1,México,"Estádio Castelão, Fortaleza"
13:00 (UTC−3),Sneijder 88' Huntelaar 90+4' (pen.),Relatório,Dos Santos 48',Público: 58 817 Árbitro: POR Pedro Proença
