0,1,2,3,4
1 de julho,Bélgica,2 – 1 (pro),Estados Unidos,"Arena Fonte Nova, Salvador"
17:00 (UTC−3),De Bruyne 93'  Lukaku 105',Relatório,Green 107',Público: 51 227 Árbitro: ALG Djamel Haimoudi
