0,1,2,3,4
1 de julho,Argentina,1 – 0 (pro),Suíça,"Arena de São Paulo, São Paulo"
13:00 (UTC−3),Di María 118',Relatório,,Público: 63 255 Árbitro: SWE Jonas Eriksson
