0,1,2,3,4
30 de junho,França,2 – 0,Nigéria,"Estádio Nacional, Brasília"
13:00 (UTC−3),Pogba 79' Yobo 90+2',Relatório,,Público: 67 882 Árbitro: USA Mark Geiger
