0,1,2,3,4
5 de julho,Argentina,1 – 0,Bélgica,"Estádio Nacional, Brasília"
13:00 (UTC−3)  Histórico,Higuaín 8',Relatório,,Público: 68 551 Árbitro: ITA Nicola Rizzoli
