0,1,2,3,4
30 de junho,Alemanha,2 – 1 (pro),Argélia,"Estádio Beira-Rio, Porto Alegre"
17:00 (UTC−3),Schürrle 92'  Özil 120',Relatório,Djabou 120+1',Público: 43 063 Árbitro: BRA Sandro Ricci
