0,1,2,3,4
4 de julho,Brasil,2 – 1,Colômbia,"Estádio Castelão, Fortaleza"
17:00 (UTC−3)  Histórico,Thiago Silva 7'  David Luiz 69',Relatório,Rodríguez 80' (pen.),Público: 60 342 Árbitro: ESP Carlos Velasco Carballo
