0,1,2,3,4
28 de junho,Colômbia,2 – 0,Uruguai,"Estádio do Maracanã, Rio de Janeiro"
17:00 (UTC−3),"Rodríguez 28', 50'",Relatório,,Público: 73 804 Árbitro: NED Björn Kuipers
